Brand,Device_Model,Device_Name,Hardware_Model
Samsung,SM-J320F,Galaxy J3,SM-J320F
Samsung,SM-G998U1,Galaxy S21 Ultra 5G,SM-G998U1
Samsung,SPH-P500,Galaxy Tab 2 10.1,SPH-P500
Samsung,SM-M013F,Galaxy M01 Core,SM-M013F
Samsung,SM-G960W,Galaxy S9,SM-G960W
Samsung,SM-J600N,Galaxy On6,SM-J600N
Samsung,SM-A305YN,Galaxy A30,SM-A305YN
Samsung,SM-A405FN,Galaxy A40,SM-A405FN
Samsung,SM-M625F,Galaxy M62,SM-M625F
Samsung,SM-J106H,Galaxy J1 Mini Prime,SM-J106H
Samsung,SM-T290,Galaxy Tab A 8.0 (2019),SM-T290
Samsung,SM-G6200,Galaxy A6s,SM-G6200
Samsung,GT-S7580L,Trend Plus,GT-S7580L
Samsung,SM-J530YM,Galaxy J5 2017,SM-J530YM
Samsung,SM-C5000,Galaxy C5,SM-C5000
Samsung,SM-M205G,Galaxy M20,SM-M205G
Samsung,SM-T116NU,Galaxy Tab 3V 3G,SM-T116NU
Samsung,SM-G355HN,Galaxy Core II,SM-G355HN
Samsung,SM-N9100,Galaxy Note 4 Duos,SM-N9100
Samsung,SM-F700U,Galaxy Z Flip,SM-F700U
Samsung,SM-C115L,Galaxy K Zoom,SM-C115L
Samsung,SM-G1650,Galaxy Folder2,SM-G1650
Samsung,SGH-T999,Galaxy S III T999,SGH-T999
Samsung,SM-A107M,Galaxy A10s,SM-A107M
Samsung,SM-N985F,Galaxy Note20 Ultra,SM-N985F
Samsung,SM-G903W,Galaxy S5 Neo,SM-G903W
Samsung,SM-S767VL,Galaxy J7 Top,SM-S767VL
Samsung,SM-T387V,Galaxy Tab A 8.0 2017,SM-T387V
Samsung,SM-T387V,Galaxy Tab A 8.0 2018,SM-T387V
Samsung,SM-T597V,Galaxy Tab A 10.5,SM-T597V
Samsung,SM-T307U,Galaxy Tab A 8.4,SM-T307U
Samsung,SM-J737S,Galaxy Wide 3,SM-J737S
Samsung,SC-01H,Galaxy Active Neo,SC-01H
Samsung,SM-G975W,Galaxy S10+,SM-G975W
Samsung,SM-N915V,Galaxy Note Edge,SM-N915V
Samsung,GT-I9100M,Galaxy S II,GT-I9100M
Samsung,GT-S7582L,Galaxy S Duos 2,GT-S7582L
Samsung,SGH-I257M,Galaxy S4 Mini,SHV-E370K
Samsung,SM-N900S,Galaxy Note 3 LTE-A,SM-N900S
Samsung,SM-G5108Q,Galaxy Core Max,SM-G5108Q
Samsung,SM-T860,Galaxy Tab S6,SM-T860
Samsung,SM-S260DL,J2 Core+,SM-S260DL
Samsung,GT-I8160,Galaxy Ace 2,GT-I8160
Samsung,G800Y,S5 Mini LTE-A,SM-G800Y
Samsung,SM-J330G,Galaxy J3 Pro,SM-J330G
Samsung,SM-G5700,On5 2016,SM-G5700
Samsung,SM-J250M,Galaxy J2 Pro (2018),SM-J250M
Samsung,SM-J120ZN,Galaxy J1 2016,SM-J120ZN
Samsung,SM-J320ZN,Galaxy J3 Duos,SM-J320ZN
Samsung,GT-I9118,Galaxy Grand Duos,GT-I9118
Samsung,SGH-i467M,Note 8.0,SGH-I467M
Samsung,SM-A507FN,Galaxy A50s,SM-A507FN
Samsung,SM-T255S,Galaxy W,SM-T255S
Samsung,SM-T335,Galaxy Tab 4 8.0 LTE,SM-T335
Samsung,SGH-I467,Galaxy Note 8.0,SAMSUNG-SGH-I467
Samsung,SM-G313HZ,Galaxy Ace NXT,SM-G313HZ
Samsung,SM-T525,Galaxy Tab Pro 10.1,SM-T525
Samsung,SM-G531H,Galaxy Grand Prime Value Edition,SM-G531H
Samsung,SM-J200Y,Galaxy J2 (2015),SM-J200Y
Samsung,SM-J415N,Galaxy J4+,SM-J415N
Samsung,GT-S7262,Galaxy Star S7262,GT-S7262
Samsung,SM-A605K,Galaxy Jean,SM-A605K
Samsung,SM-A202K,Galaxy Jean2,SM-A202K
Samsung,GT-I9301Q,Galaxy S III Neo+,GT-I9301Q
Samsung,SM-N950W,Galaxy Note8,SM-N950W
Samsung,SM-G710s,Galaxy Grand 2,SM-G710S
Samsung,SM-A320Y,Galaxy A3 2017,SM-A320Y
Samsung,SM-J110H,Galaxy J1,SM-J110M
Samsung,SM-G973W,Galaxy S10,SM-G973W
Samsung,SM-N935F,Galaxy Note Fan Edition,SM-N935F
Samsung,SM-A920N,Galaxy A9 2018,SM-A920X
Samsung,SM-A325F,Galaxy A32,SM-A325F
Samsung,SM-T517P,Galaxy Tab A 10.1 (2019),SM-T517P
Samsung,SM-J337P,Galaxy J3 Achieve,SM-J337P
Samsung,SHV-E500S,Galaxy Win LTE,SHV-E500S
Samsung,SM-G3815,Galaxy Express 2,SM-G3815
Samsung,SM-C105L,Galaxy S4 Zoom,SM-C105L
Samsung,SM-G950W,Galaxy S8,SM-G950W
Samsung,SM-A525F,Galaxy A52 4G,SM-A525F
Samsung,SM-F907N,Galaxy Fold,SM-F907N
Samsung,SM-G887F,Galaxy A8s,SM-G887F
Samsung,SM-T805S,Galaxy Tab S 10.5,T805S
Samsung,SM-G770F,Galaxy S10 Lite,SM-G770F
Samsung,SM-G892U,Galaxy S8 Active,SM-G892U
Samsung,SGH-I537,S 4 Active,SAMSUNG-SGH-I537
Samsung,SM-G350E,Star 2 Plus,SM-G350E
Samsung,SM-J700T1,Galaxy J7 2015,SM-J700T1
Samsung,SM-T285,Galaxy Tab A 7.0 LTE,SM-T285
Samsung,SM-E700H,Galaxy E7,SM-E700H
Samsung,SM-G887N,Galaxy A9 Pro,SM-G887N
Samsung,SM-P615,Galaxy Tab S6 Lite,SM-P615
Samsung,SM-T239,Galaxy Tab 4 Lite 7.0,SM-T239
Samsung,GT-i9158V,Galaxy Mega Plus 4G,GT-I9158V
Samsung,SM-M025F,Galaxy M02s,SM-M025F
Samsung,SM-A705YN,Galaxy A70,SM-A705YN
Samsung,SM-G570Y,Galaxy J5 Prime,SM-G570Y
Samsung,SM-N960X,Galaxy Note9,SM-N960X
Samsung,SM-N916S,Galaxy Note 4,SM-N916k
Samsung,SM-N935S,Galaxy Note FE,SM-N935S
Samsung,SM-N970W,Galaxy Note10,SM-N970W
Samsung,SM-A710Y,Galaxy A7 (2016),SM-A710Y
Samsung,SM-M307FN,Galaxy M30s,SM-M307FN
Samsung,SM-C710F,Galaxy C8,SM-C710F
Samsung,SM-A326B,Galaxy A32 5G,SM-A326B
Samsung,GT-I9070,Galaxy S Advance,GT-I9070
Samsung,SM-G9300,Galaxy S7 Duos,SM-G9300
Samsung,SM-C5018,Galaxy C5 Pro,SM-C5018
Samsung,SM-A025F,Galaxy A02s,SM-A025F
Samsung,SM-M515F,Galaxy M51,SM-M515F
Samsung,SM-T365,Galaxy Tab Active LTE-A,SM-T365
Samsung,SM-A105M,Galaxy A10,SM-A105M
Samsung,SM-G316HU,Galaxy S Duos 3,SM-G316HU
Samsung,SM-J530YM,Galaxy J5 Pro,SM-J530YM
Samsung,SM-N986W,Galaxy Note20 Ultra 5G,SM-N986W
Samsung,SM-J720F,Galaxy J7 Duo,SM-J720F
Samsung,SM-T395,Galaxy Tab Active 2,SM-T395
Samsung,SM-A516N,Galaxy A51 5G,SM-A516N
Samsung,GT-N7102,Galaxy Note II Duos,GT-N7102
Samsung,SGH-T989,Galaxy SII,SGH-T989
Samsung,SM-J337A,Galaxy J3 2018,SM-J337A
Realme,RMX1945,C2,RMX1945
Realme,RMX2063,6 Pro,RMX2063
Realme,TA-1052,8,TA-1052
Realme,RMX1827,3i,RMX1827
Realme,RMX1971,5 Pro,RMX1971
Realme,RMX2155,7,RMX2155
Realme,RMX3201,C21,RMX3201
Realme,RMX1851,3 Pro,RMX1851
Realme,RMX1925,5s,RMX1925
Realme,RMX2086,X3,RMX2086
Realme,RMX2170,7 Pro,RMX2170
Realme,TA-1053,5,TA-1053
Realme,RMX3081,8 Pro,RMX3081
Realme,RMX1931,X2 Pro,RMX1931
Realme,RMX2185,C11,RMX2185
Realme,RMX3171,Narzo 30A,RMX3171
Realme,TA-1041,2,TA-1041
Realme,CPH1859,1,CPH1859
Realme,RMX2040,6i,RMX2040
Realme,TA-1032,3,TA-1032
Realme,RMX2195,C15,RMX2195
Realme,RMX2020,C3,RMX2020
Realme,TA-1039,6,TA-1039
Realme,RMX2103,7i,RMX2103
Realme,RMX2101,C17,RMX2101
Realme,RMX3191,C25,RMX3191
Realme,RMX2189,C12,RMX2189
Realme,RMX1811,C1,RMX1811
Realme,RMX1921,XT,RMX1921
Realme,RMX2030,5i,RMX2030
Quanta,QTAIR7,Ellipsis 10,QTAIR7
QiKU,1503-A01,360 N4,1503-A01
QMobile,M88,Nitro Pro M88,QMobile M88
QMobile,T50,Bolt,QMobile T50
QMobile,i6i,Noir i6i,QMobile i6i
QMobile,X700i,Noir Titan,QMobile X700i
QMobile,i5,Noir 3G,QMobile i5
QMobile,i6i 2020,SMART,i6i 2020
QMobile,X70,Linq X70,QMobile X70
QMobile,Z10,Noir,QMobile_LT600_PRO
QMobile,LT200,QSmart,LT200
QMobile,LT900,Q Smart,LT900
QMobile,L15,Linq L15,QMobile L15
QMobile,L20,LinQ L20,QMobile L20
Posh Mobile,L530,Optima LTE,L530
Posh Mobile,L540,Volt LTE,L540
Posh Mobile,X700,Equal Plus,X700
Posh Mobile,E550,Titan HD,E550
Philips,S307,Xenium S307,Philips_S307
Phicomm,E5051,ENERGY 4S,E5051
Pantech,ADR930L,Perception,ADR930L
Pantech,IM-A860S,Vega No. 6,IM-A860S
Pantech,IM-A870L,Vega Iron,IM-A870L
Pantech,IM-A910s,Vega Iron 2,IM-A910S
Pantech,IM-A850S,Vega R3,IM-A850S
Pantech,IM-A880S,Vega LTE-A,IM-A880S
Pantech,IM-A890S,Vega Secret Note,IM-A890S
Pantech,IM-A900L,Vega Secret Up,IM-A900L
Pantech,IM-A920s,Pop Up Note,IM-A920S
POCO,M2103K19PG,M3 Pro 5G,M2103K19PG
OnePlus,BE2029,Nord N10 5G,BE2029
OnePlus,A3010,3T,ONEPLUS A3010
OnePlus,BE2013,Nord N100,BE2013
OnePlus,E1003,X,ONE E1003
OnePlus,A6013,6T,ONEPLUS A6013
OnePlus,GM1925,7 Pro 5G,GM1925
OnePlus,LE2110,9,LE2110
OnePlus,A5010,5T,ONEPLUS A5010
OnePlus,One 801e,One,HTC_PN071
OnePlus,HD1925,7T Pro 5G McLaren,HD1925
OnePlus,HD1913,7T Pro,HD1913
OnePlus,AC2003,Nord,AC2003
OnePlus,KB2005,8T,KB2005
OnePlus,HD1907,7T,HD1907
Obi,S551,Obi Hornbill,Obi_S551
Obi,SF1,Worldphone SF1,SF1
OPPO,PAFM00,Find X,PAFM00
OPPO,PBET00,R17,PBET00
OPPO,CPH1969,F11 Pro,CPH1969
OPPO,CPH1951,Reno2 Z,CPH1951
OPPO,CPH1607,R9s,CPH1607
OPPO,A002OP,Reno3 A,A002OP
OPPO,CPH2025,Finx X2 Pro,CPH2025
OPPO,CPH1707,R11,CPH1707
OPPO,PACT00,R15,PACT00
OPPO,A33w,Neo 7,A33w
OPPO,CPH2119,F17 Pro,CPH2119
OPPO,CPH2179,A15s,CPH2179
OPPO,CPH2109,Reno4 Pro,Reno4 Pro
OPPO,CPH1715,A77,CPH1715
OPPO,CPH1921,Reno 5G,CPH1921
OPPO,CPH2013,Reno 3A,CPH2013
OPPO,CPH2073,A31,CPH2073
OPPO,CPH1941,A9 (2020),CPH1941
OPPO,CPH2185,A15,CPH2185
OPPO,CPH1893,R17 Neo,CPH1893
OPPO,CPH1725,F5 Youth,CPH1725
OPPO,CPH1605,A39,CPH1605
OPPO,CPH1719,R11s Dual Sim,CPH1719
OPPO,X9079,R9 Plus,X9079
OPPO,X9006,Find 7a,X9007
OPPO,CPH1989,Reno2 F,CPH1989
OPPO,CPH1611,R9s Plus,CPH1611
OPPO,N5207,N3,N5207
OPPO,CPH1717,A71,CPH1717
OPPO,N5116,N1 Mini,N5116
OPPO,CPH1979,Reno Z,CPH1979
OPPO,PADT00,A3,PADT00
OPPO,6607,U3,6607
OPPO,A11w,Joy 3,A11w
OPPO,CPH2161,A73 5G,CPH2161
OPPO,PBFT00,A7,PBFT00
OPPO,R1S R8007,R1S,R8007
OPPO,PCHM10,A11,PCHM10
OPPO,PBBM30,A5,PBBM30
OPPO,CPH1609,F3,CPH1609
OPPO,CPH2043,Reno3,CPH2043
OPPO,A77t,A77T,OPPO A77t
OPPO,CPH1821,F7,CPH1821
OPPO,CPH1727,F5,OPPO F5
OPPO,CPH2069,A52,CPH2069
OPPO,PBDM00,R17 Pro,PBDM00
OPPO,PCHM30,A9,PCHM30
OPPO,1206,Neo 5s,1206
OPPO,CPH2059,A92,CPH2059
OPPO,CPH2113,Reno4,CPH2113
OPPO,CPH1907,Reno2,CPH1907
OPPO,CPH2127,A53,CPH2127
OPPO,CPH2219,A74,CPH2219
OPPO,CPH1919,Reno 10x Zoom,CPH1919
OPPO,CPH2065,Reno4 Z 5G,CPH2065
OPPO,CPH2159,Reno5 4G,CPH2159
OPPO,CPH2239,A54,CPH2239
OPPO,PDSM00,Reno5 Pro 5G,PDSM00
OPPO,CPH2035,Reno3 Pro,CPH2035
OPPO,CPH1823,F9 Pro,CPH1823
OPPO,CPH2083,A12,CPH2083
OPPO,PBCT10,R15x,PBCT10
OPPO,CPH2089,Reno4 Pro 5G,CPH2089
OPPO,A1601,F1s,OPPO F1s
OPPO,R7kf,R7 Lite,R7kf
OPPO,CPH1801,A71 (2018),CPH1801
OPPO,CPH1881,F9,CPH1881
OPPO,X9009,F1 Plus,X9009
OPPO,R831K,Neo 3,R831K
OPPO,CPH1853,A3s,CPH1853
OPPO,CPH1911,F11,CPH1911
OPPO,CPH2285,F19 Pro,CPH2285
OPPO,CPH1831,R15 Pro,CPH1831
OPPO,R8200,R1x,R8200
OPPO,PCLM10,Reno Ace,PCLM10
OPPO,PCGM00,K3,PCGM00
OPPO,PCNM00,K5,PCNM00
OPPO,R8207,R1C,R8207
OPPO,R1011,Joy Plus,R1011
OPPO,R2001,YoYo,R2001
OPPO,CPH2173,Find X3 Pro,CPH2173
OPPO,CPH2021,A91,CPH2021
OPPO,CPH2067,A72,CPH2067
OPPO,R7sm,R7s,OPPO R7sm
OPPO,PCAT00,Reno,PCAT00
OPPO,CPH2001,F15,CPH2001
OPPO,PBCM30,K1,PBCM30
OPPO,R7Plusf,R7 Plus,R7plusf
OPPO,CPH1729,A83,OPPO A83t
OPPO,CPH1923,A1K,CPH1923
OPPO,R9tm,R9,OPPO R9tm
OPPO,PBBM00,A7x,PBBM00
OPPO,L18081,A5s,Lenovo L18081
OPPO,CPH2219,F19,CPH2219
OPPO,CPH2121,A93,CPH2121
OPPO,CPH1851,R15 Neo,CPH1851
Nuu,VS980,G2,VS980 4G
Nokia,TA-1054,6.1,TA-1054
Nokia,X2DS,X2 Dual Sim,NokiaX2DS
Nextbook,NXA116QC164,Ares 11,NXA116QC164
Nextbook,NX16A11264,Ares11A,NX16A11264
NEC,N-03E,Disney mobile on docomo N-03E for DoCoMo,N-03E
NEC,N-04E,MEDIAS X N-04E for DoCoMo,N-04E
Motorola,XT907,DROID RAZR M 4G LTE,XT907
Motorola,XT1687,G5 Plus,XT1687
Motorola,moto e5 supra,Moto e5 plus,moto e5 supra
Motorola,XT1097,Moto X (2nd Gen),XT1097
Motorola,XT1225,Moto Turbo,XT1225
Motorola,XT890,RAZR i,XT890
Motorola,XT1663,Moto M,XT1663
Motorola,XT907,Droid RAZR M,XT907
Motorola,XT1250,Moto Maxx,XT1250
Motorola,XT894,Droid 4,DROID4
Motorola,XT1565,Droid Maxx 2,XT1565
Motorola,XT1789-05,Moto Z2 Force,XT1789-05
Motorola,XT1254,Droid Turbo,XT1254
Motorola,XT1700,Moto E3,XT1700
Motorola,XT1935-02,Moto Z Play,XT1635-02
Motorola,XT1080,Droid Ultra,XT1080
Motorola,XT1650,Moto Z Droid,XT1650
Motorola,moto g(6),Moto G6,moto g(6) (XT1925DL)
Motorola,XT1609,Moto G4 Play,moto g⁶ play
Motorola,XT1580,Moto X Force,XT1580
Motorola,MOTXT912B,Droid Razr 4G,DROID RAZR
Motorola,XT1040,Moto G,XT1040
Motorola,XT923,Droid Razr HD,DROID RAZR HD
Motorola,XT1706,Moto E3 Power,XT1706
Motorola,XT1096,Moto X,XT1096
Motorola,XT1710-02,Moto Z2 Play,XT1710-02
Motorola,XT1528,Moto E (2nd Gen),XT1528
Motorola,XT1008,Moto G Forte (Falcon),XT1008
Motorola,XT1575,Moto X Style/Pure,XT1575
Motorola,Moto E,Razr D1,moto e
Motorola,XT1799-2,Moto G5S,XT1799-2
Motorola,Moto G (4),Moto G4,Moto G (4)
Motorola,XT1564,Moto X Play,XT1564
Motorola,XT2005DL,Moto E6,moto e6 (XT2005DL)
Motorola,XT1039,Moto G 4G,XT1039
Motorola,XT830C,Moto E,moto e
Motorola,XT1030,Droid Mini,XT1030
Motorola,XT1585,Droid Turbo 2,XT1585
Motorola,XT1068,Moto G (2nd Gen),XT1068
Motorola,XT1920DL,moto e5,moto e5 (XT1920DL)
Motorola,XT1045,Moto G LTE,XT1045
Micromax,E485,Canvas 6,Micromax E485
Micromax,Q413,Canvas Express 4G,Micromax Q413
Micromax,A106,Unite 2,Micromax A106
Micromax,Q463,Canvas 5 Lite Special Edition,Micromax Q463
Micromax,HS2,Canvas Infinity,Micromax HS2
Meizu,PRO 7-H,Pro 7,PRO 7-S
Meizu,m3 note,m3 note,m3 note
Meizu,M571C,M2 Note,m2 note
Lenovo,K53b36,Vibe K6 Plus,Lenovo K53b36
Lenovo,A7600-H,A10-70 A7600,Lenovo A7600-H
Lenovo,TB-8504X,Tab4 8,Lenovo TB-8504X
Lenovo,L38083,K11,Lenovo L38083
Lenovo,A806,Golden Warrior,Lenovo A806
Lenovo,L38012,K5 Note (2018),Lenovo L38012
Lenovo,TB3-850F,Tab3 8,Lenovo TB3-850F
Lenovo,A7010a48,Vibe K4 Note,Lenovo A7010a48
Lenovo,YT3-850M,Yoga Tablet 3 8.0,Lenovo YT3-850M
Lenovo,ZUK 2151,ZUK Edge,ZUK Z2151
Lenovo,B6000-HV,Yoga B6000-HV,Lenovo B6000-HV
Lenovo,TB-8304F1,TAB E8,Lenovo TB-8304F1
Lenovo,A2010-a,A2010,Lenovo A2010-a
Lenovo,P2a42,P2,Lenovo P2a42
Lenovo,X660C,S5 Pro,Lenovo L58041
Lenovo,A7-20F,Tab 2,Tab2A7-20F
Lenovo,TB-7304I,TAB 7 Essential,Lenovo TB-7304I
Lenovo,TB - 8704N,TAB4 Plus,Lenovo TB-8704N
Lenovo,L38041,K5 Pro,Lenovo L38041
Lenovo,L19041,A6 Note,Lenovo L19041
Lenovo,K53a48,K6 Note,Lenovo K53a48
Lenovo,TB-X606F,Tab M10 FHD Plus,Lenovo TB-X606F
Lenovo,PB2-650Y,Phab 2,Lenovo PB2-650Y
Lenovo,TB-8505X,Tab M8 (2nd Gen),Lenovo TB-8505X
Lenovo,K50a40,K3 Note,Lenovo K50a40
Lenovo,L38043,K9,Lenovo L38043
Lenovo,TB-8705X,SmartTab M8,Lenovo TB-8705X
Lenovo,TB2-X30L,TAB 2 A10-30,Lenovo TB2-X30L
Lenovo,TB-X505X,M10,Lenovo TB-X505X
Lenovo,P1c58,Vibe P1,Lenovo P1c58
Lenovo,PB1-770M,Phab Plus,Lenovo PB1-770M
Lenovo,A7020a48,Vibe K5 Note,Lenovo A7020a48
Lenovo,X652B,S5,Lenovo K520
Lenovo,A3500-HV,Tab A7-50,Lenovo A3500-HV
Lenovo,S90-A,Sisley,Lenovo S90-A
Lenovo,PB2-670M,Phab 2 Plus,Lenovo PB2-670M
Lenovo,L28111,Z6 Lite,Lenovo L38111
Lenovo,ZUK Z2132,Z2 Plus,Z2 Plus
Lenovo,TB-7305X,Tab M7,Lenovo TB-7305X
Lenovo,S1a40,Vibe S1,Lenovo S1a40
Lenovo,PB1-750M,PHAB,Lenovo PB1-750M
Lenovo,K33a42,Vibe K6 Power,Lenovo K33a42
Lenovo,S1La40,Vibe S1 Lite,Lenovo S1La40
Lenovo,P1ma40,Vibe P1m,Lenovo P1ma40
Lenovo,YT3-X50M,Yoga Tab 3,Lenovo YT3-X50M
Lenovo,A3000-H,IdeaTab A3000-F,Lenovo A3000-H
Lenovo,X3c50,Vibe X3,Lenovo X3c50
Lenovo,TB3-710I,Tab3 7,Lenovo TB3-710I
Lenovo,A6600a40,A6600 Plus,Lenovo A6600a40
Lenovo,ZUK Z2131,Z2,ZUK Z2131
Lenovo,TB-7504X,Tab 7 4G,Lenovo TB-7504X
Lenovo,A1010a20,A Plus,Lenovo A1010a20
Lenovo,A850+,LePhone,Lenovo A850+
Lenovo,S8-50F,Tab S8,Lenovo TAB S8-50F
Lenovo,A6020137,Vibe K5,Lenovo A6020l37
Lenovo,A2020a40,Vibe C,Lenovo A2020a40
Lenovo,A6600d40,A6600,Lenovo A6600d40
Lenovo,PB-6505M,Tab V7,Lenovo PB-6505M
Lenovo,TB-X104F,Tab E10,Lenovo TB-X104F
Lenovo,TB-8703X,Tab3 8 Plus,Lenovo TB-8703X
Lenovo,K10a40,Vibe C2,Lenovo K10a40
Lenovo,L39051,K10 Plus,Lenovo L39051
Lenovo,A6020a46,Vibe K5 Plus,Lenovo A6020a46
Lenovo,L10041,A8,Lenovo L10041
Lenovo,Z90a40,Vibe Shot,Lenovo Z90a40
Lenovo,A7-30HC,TAB 2,Lenovo TAB 2 A7-30HC
Lenovo,TB-8704X,Tab 4 8 Plus,TB-8704V
Lenovo,A10-70L,TAB 2 A10,Lenovo TAB 2 A10-70L
Lenovo,TB-X304F,Tab4 10,Lenovo TB-X304F
Lenovo,X2-EU,Vibe X2,Lenovo X2-EU
Lenovo,Z2,Vibe Z2,Lenovo Z2
Lenovo,TB-X605F,Tab M10,Lenovo TB-X605M
Lenovo,TB-7104I,Tab E7,Lenovo TB-7104I
Lenovo,A2016a40 B,B,Lenovo A2016a40
Lenovo,L38011,K5 Play,Lenovo L38011
Lenovo,TB-X704L,Tab4 10 Plus,Lenovo TB-X704Y
Lenovo,B8000-F,Yoga B8000-H,Lenovo B8000-F
LeTV,Le X620,Le 2,Le X620
LeTV,X608,Le 1,X608S
LeTV,X500,Le 1S,Letv X500
LeEco,Le X820,Le 2 Pro,Le X820
LeEco,Le X821,Le Max 2,Max2
LeEco,LEX626,Le S3,LEX626
Lava,LH9930,Iris 54,LAVA LH9930
Lava,LF9810_2GB,Z62,LAVA LF9810_2GB
Lava,LH9920,V+ 6,LH9920
Lava,360m,Iris 360m,iris360
Lava,LE9820,R5,LAVA LE9820
Lava,LH9910,Z52 Pro,LH9910
Lava,LE9910,V8,LE9910
Lava,LN9910,Iris 61,LN9910
Lava,LH9950,Iris 46,LAVA LH9950
Lava,LN9810,R3 Note,LAVA LN9810
Lanix,LT500,Ilium LT500,LT500
LG,VS9987,G5,VS987
LG,LM-Q510N,Q51,LM-Q510N
LG,H778n,AKA,LG-H788n
LG,US998,V30+,LGV35
LG,LG-E988,Optimus G Pro,LG-F240S
LG,LM-X430,K40S,LM-X430
LG,F460K,G3 LTE-A,LG-F460K
LG,LM-X210CMR,Risio 3,LM-X210CMR
LG,F310LR,Gx,LG-F310LR
LG,F200S,Optimus Vu II,LG-F220K
LG,V521,G Pad X 8.0,LG-V521
LG,LM-Q725L,Q7 Plus,LM-Q725L
LG,M430,Stylo 3,LG-M430
LG,V480,G Pad 8.0,LG-V480
LG,V530,G Pad X2 8.0 Plus,LG-V530
LG,VS,V10,VS990
LG,LM-X415S,X4+,LM-X415S
LG,L-01L,STYLE 2 2019,L-01L
LG,TP260,K20 Plus,LG-TP260
LG,L163BL,Fiesta,LGL163BL
LG,H740,G Vista 2,LG-H740
LG,LM-G820V,G8 ThinQ,LM-G820
LG,LG-M150,Phoenix 3,LG-M150
LG,LM-K410,K41S,LM-K410
LG,V33,Qua Phone PX,LGV33
LG,VK410,G Pad 7.0 LTE-A,LGUK410
LG,LML413DL,Premier Pro,LML413DL
LG,LGLS676,Tribute HD,LGLS676
LG,F720S,Stylus 2,LG-F720S
LG,LGL24,isai FL LGL24 for KDDI,LGL24
LG,F430L,Gx2,LG-F430L
LG,F460S,G3 Cat 6,LG-F460S
LG,M327,X Charge,LG-US601
LG,LG-M160,K4 (2017),LG-M160
LG,H440n,Spirit 4G LTE,LG-H440n
LG,F570S,Band Play,LG-F570S
LG,LM-V405,V40 ThinQ,LM-V405
LG,K550,Stylo 2 Plus,LG-K550
LG,LGM-K121L,K10 2017,LGM-K121L
LG,LG-F540L,Volt,LG-F540L
LG,D320,Optimus L70,LG-D320
LG,MS210,Aristo,LGMS210
LG,D722,G3 Mini,LG-D722
LG,F560K,Stylo,LG-F560K
LG,LM-Q720,Stylo 5,LM-Q720
LG,LM-X510S,X5,LM-X510S
LG,K500,X Screen,LG-K500
LG,LM-X420N,K12 Plus,LM-X420N
LG,LM-X525,Q60,LM-X525
LG,D315,F70 LTE,LG-D315
LG,LM-X210,Aristo 2,LM-X210
LG,L322DL,Journey LTE,LGL322DL
LG,L-01F,Optimus G L-01E for DoCoMo,L-01F
LG,LM-G810,G8S ThinQ,LM-G810
LG,LM-X210APM,Phoenix 4,LM-X210APM
LG,LG-K600,X mach,LG-K600
LG,LGM-K120S,X300,LGM-K120S
LG,H502,Magna,LG-H502
LG,LM-X510L,X5 2018,LM-X510L
LG,LML212VL,Rebel 4,LML212VL
LG,VS501,K20 V,VS501
LG,LS996,G Flex 2,LGLS996
LG,LM-V350,V35 ThinQ,LM-V350
LG,L-03K,Style,L-03K
LG,LM-Q710.FG,Q7,LM-Q710.FG
LG,F100L,Optimus Vu,LG-F100L
LG,K420,K10 LTE,LG-K420
LG,VS986,G4 Metallic Gray Silver,VS986
LG,F260S,Optimus LTE III,LG-F260S
LG,V34,isai Beat,LGV34
LG,LM-X520,K50,LM-X520
LG,VS980 4G,Optimus G2 4G,VS980 4G
LG,L-05E,Optimus it L-05E for DoCoMo,L-05E
LG,VS988,G6,VS988
LG,F160LV,Optimus LTE2,LG-F160S
LG,VS985,G3,VS985 4G
LG,VS996,V30,VS996
LG,LGM-K121S,X400,LGM-K121S
LG,LM-X625N,X6,LM-X625N
LG,MS330,K7,LGMS330
LG,LG-F180S,Optimus G,LG-F180S
LG,F350S,G Pro 2,LG-F350S
LG,K410,K10,LG-K430
LG,D631,G Pro2 Lite,LG-D631
LG,Q710AL,Stylo 4,LG-Q710AL
LG,LG-H845,G5 SE,LG-H845
LG,M153,Fortune,LG-M153
LG,H540,G4 Stylus,LG-H540
LG,LM-K500,K51,LM-K500
LG,H635,LG Stylus,LG-H635
LG,F470K,G3 Beat,LG-F470K
LG,LM-K420,K42,LM-K420
LG,LM-G910,Velvet,LM-G910
LG,X230,K7 2017,LG-X230
LG,D690,G3 Stylus,LG-D690
LG,V32,Vivid,LGV32
LG,LM-X510MW,X500,LM-X510WM
LG,K130,K4,LG-K121
LG,LG-F770S,X Series X5 4G LTE,LG-F770S
LG,X410PM,K30,LM-X410PM
LG,X800L,Q8,LGM-X800L
LG,K371,Phoenix 2,LG-K371
LG,LG-US701,X Venture,LG-US701
LG,LM-G710VM,G7 ThinQ,LM-G710VM
LG,LG-F690S,X Cam 4G LTE,LG-F690S
LG,V495,G Pad F 8.0,LG-V495
LG,F820L,U,LG-F820L
LG,LM-X220PM,Aristo 3,LM-X220PM
LG,LGLS775,Stylo 2,LGLS775
LG,LK460,G Pad F2 8.0,LG-LK460
LG,LS991,G4,LGLS991
LG,MS550,Stylus 2 Plus,LGMS550
LG,LM-K300,K31,LM-K300
LG,US700,Q6,LGM-X600S
LG,LM-V500N,V50 ThinQ 5G,LM-V500N
