Name, Website Name, Price 
LG G3 Stylus,  LG G3 Stylus,15449
Tecno Tecno Camon i Sky 3, Tecno Camon i Sky 3,15499
Motorola Moto G 4G,  Motorola Moto G 4G,15499
Huawei Y5 Lite 2018, Huawei Y5 lite 2018,15499
Infinix Smart 3 Plus,  Infinix Smart 3 Plus,15500
Infinix Smart 3,  Infinix Smart 3 Plus,15500
Motorola Moto X Force,  Motorola Moto X Force,15600
Tecno Camon CX Air,  Tecno Camon CX Air,15990
itel ,  itel Vision 2,15999
Vivo Y1s,  Vivo Y1s,15999
Vivo Y91,  Vivo Y91D,15999
Vivo Y90,  Vivo Y90,15999
Tecno Spark 4 Air, Tecno Spark 4,15999
Samsung Galaxy On5,  Samsung Galaxy On5,15999
Realme C11,  Realme C11,15999
LG G4,  LG G4 Beat,15999
HTC Desire 820G+,  HTC Desire 820G+,15999
Alcatel 1S (2020),  Alcatel 1S (2020),15999
OPPO R1x,  Oppo R1x,16000
LG Stylo 2,  Lg Stylo 2,16000
LG G Stylo,  LG G Stylo,16000
Alcatel 1SE,  Alcatel 1SE,16499
Alcatel 1S,  Alcatel 1SE,16499
Sony Xperia L1,  Sony Xperia L1,16500
LG Optimus G Pro,  LG Optimus G Pro,16500
Huawei Mediapad T3,  Huawei MediaPad T3 7,16700
Tecno Camon iSky 2,  Tecno Camon iSky 2,16799
ZTE Blade A7 Prime,  ZTE Blade A7 Prime,16999
Vivo Y55s,  Vivo Y55s,16999
Vivo Y91C,  vivo y91c,16999
Samsung Galaxy M02,  Samsung Galaxy M02,16999
Samsung Galaxy A10s,  Samsung Galaxy A10s,16999
Samsung Galaxy M02s,  Samsung Galaxy M02s,16999
Samsung Galaxy A10,  Samsung Galaxy A10s,16999
Realme C12,  Realme C12,16999
OPPO A1K,  Oppo A1K,16999
Infinix Smart 5,  Infinix Smart 5 3GB,16999
Alcatel 1T 10,  alcatel 1T 10,16999
Lenovo Golden Warrior,  Lenovo Golden Warrior S8,17000
Huawei P8 Lite,  Huawei P8 Lite,17000
HTC Desire 510,  HTC Desire 510,17000
Tecno Spark 6 Go,  Tecno Spark 6 Go 4GB,17499
Tecno Spark 6,  Tecno Spark 6 Go 4GB,17499
Huawei Honor 3C,  Huawei Honor 3C,17500
Tecno Camon I Air,  Tecno Camon i Air,17699
Samsung Galaxy Grand,  Samsung Galaxy Grand Prime Plus 2018,17699
Samsung Galaxy Grand Prime,  Samsung Galaxy Grand Prime Plus 2018,17699
Tecno Spark 6 Air, Tecno Spark 6,17899
Samsung Galaxy A02,  Samsung Galaxy A02 64GB,17899
Lenovo Vibe P1,  Lenovo Vibe P1m,17900
Lenovo Vibe P1m,  Lenovo Vibe P1m,17900
Xiaomi Redmi 9C,  Xiaomi Redmi 9C 3GB,17999
Samsung Galaxy On7,  Samsung Galaxy On7 Pro,17999
Samsung Galaxy J3 Pro,  Samsung Galaxy J3 Pro,17999
OPPO A71,  Oppo A71,17999
OPPO A11,  Oppo A11k,17999
LG K20,  LG K20 (2019),17999
Infinix Hot 8,  Infinix Hot 8 4GB,17999
Infinix Note 3 Pro,  Infinix Note 3 Pro,17999
Alcatel 3X (2020), Alcatel 3x (2020),17999
OPPO A39,  Oppo A39,18000
Lenovo K9,  Lenovo K9,18000
Infinix NOTE 4 Pro,  Infinix Note 4 Pro,18200
Tecno Spark 5,  Tecno Spark 5 Pro,18239
LG K10 2017,  LG K10 2017,18299
LG K10,  LG K10 2017,18299
Samsung Galaxy J4 Core,  Samsung Galaxy J4 Core,18499
Samsung Galaxy J4,  Samsung Galaxy J4 Core,18499
Infinix NOTE 4,  Infinix Note 4,18700
Lenovo K3 Note,  Lenovo K3 Note,18990
ZTE nubia M2,  ZTE Nubia M2 Play,18999
Samsung Galaxy A11,  Samsung Galaxy A11,18999
OPPO A3s,  Oppo A3s,18999
Lenovo K5 Play,  Lenovo K5 Play,18999
Infinix Hot 10 Play,  Infinix Hot 10 Play 4GB,18999
Infinix Hot 9,  Infinix Hot 9 Play 4GB,18999
Infinix Hot 9 Play,  Infinix Hot 9 Play 4GB,18999
Huawei Y6 2019,  Huawei Y6 2019,18999
Huawei Y6 Pro,  Huawei Y6 Pro (2019),18999
Huawei Honor 7A,  Huawei Honor 7A,18999
Huawei P8,  Huawei P8,18999
Alcatel 3T 10,  alcatel 3T 10,18999
Huawei Enjoy 6,  Huawei Enjoy 6,19000
Infinix Hot 10T, Infinix Hot 10,19099
Samsung Galaxy J5 Prime,  Samsung Galaxy J5 Prime,19290
Meizu m3 note,  Meizu M3 Note,19500
Lenovo Vibe K5,  Lenovo Vibe K5 Plus,19500
Lenovo Vibe K5 Plus,  Lenovo Vibe K5 Plus,19500
Infinix Hot S3X,  Infinix Hot S3X,19600
Tecno Camon 15 Premier, Tecno Camon 15,19799
OPPO F1s,  Oppo F1s,19900
